nama_tps,alamat,kelurahan,kecamatan,wilayah,jenis_tps,luas_lahan(m2),status_lahan,volume_sampah_rata_rata_per_hari(m3)
Bak beton RW 03,JL. Sunter kemayoran,Sunter Jaya,Tanjung Priok,Jakarta Utara,Bak Beton,6,DPU,1
Bak beton RW 07 sunter jaya,JL. Sunter mas barat RW 07,Sunter jaya,Tanjung priok,Jakarta Utara,Bak Beton,20,Swadaya,9495
Bak beton Honda RW 09,JL. Sunter Kemayoran,Sunter Jya,Tanjung Priok,Jakarta Utara,Bak Beton,15,DPU,12
TPS A9 Bahari RW 13,JL. Bahari III Gg A9 RW 13,Tanjung Priok,Tanjung Priok,Jakarta Utara,Bak Beton,24,PJKA,8
Dipo RW.15 Semper Barat ,JL. Raya Cilincing RW. 15 ,Semper Barat ,Cilincing ,Jakarta Utara,Dipo,100,Dinas Pertamanan ,48
Dipo RW. 03 Semper Barat ,JL. Rusun Kebersihan No. 24,Semper Barat ,Cilincing ,Jakarta Utara,TPS 3R,50,PEMDA DKI ,16
Dipo RW. O5 Semper Timur ,Jl. Kebantenan II RT. 010 RW. 05,Semper Timur,Cilincing ,Jakarta Utara,Dipo,400,Pemerintah Daerah ,10
Rw 07 sukapura ,Rw 07 jl sakura barat 3,Sukapura ,Cilincing ,Jakarta Utara,Dipo,150,Warga rw 07,200
Dipo RW. 07 Sukapura ,JL. Sakura Barat 3 ,Sukapura ,Cilincing ,Jakarta Utara,Dipo,300,Pribadi ,32
Dipo Kelapa Gading,Jl. Inspeksi Kali Sunter RW 005,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Dipo,1400,Dinas Pertamanan,70
Dipo Rawa Badak,Jalan Inspeksi Kali Sunter RW.009 ,Rawa Badak Utara,Koja,Jakarta Utara,Dipo,300,Jalur Hijau / Pemda DKI,214
Dipo Kel. Ancol,Jl. Ancol Barat VIII Kel. Ancol,Ancol,Pademangan,Jakarta Utara,Dipo,306,TIJA,10
Dipo Kel. Pademangan Barat,Jl. Budi Mulya Raya No 114,Pademangan Barat,Pademangan,Jakarta Utara,Dipo,200,Konfirmasi,60
Jl. Pad IX Rt. 02/010 Kel. Pad Timur,Jl. Pademangan IX Rt. 02/010 Kel. Pademangan Timur,Pademangan Timur,Pademangan,Jakarta Utara,Dipo,140,konfirmasi,60
Dipo muara baru,Jln.muara baru,Penjaringan,Penjaringan,Jakarta Utara,Dipo,270,Pemda dki,274
Dipo RW 13 Sunter Agung,JL. Sunter Karya RW 13,Sunter Agung,Tanjung Priok,Jakarta Utara,Dipo,200,Pemda,13995
Dipo Sunter Jaya,JL. Sunter jaya I,Sunter jaya,Tanjung Priok,Jakarta Utara,Dipo,10,Tata Air,300
Pool Gerobak RW 03 Green Garden,Jl. Malaka Jaya,Rorotan,Cilincing,Jakarta Utara,Pool Gerobak,150,Pengembangan Green Garden,40
TPS Jembatan Budidarma ,JL. TPU Semper RT.04 RW. 10,Semper Timur ,Cilincing ,Jakarta Utara,Pool Gerobak,2,Pemerintah Daerah ,4
Pager Seng Prapatan ,JL. Madya Kebantenan RT.01 RW. 03,Semper Timur ,Cilincing ,Jakarta Utara,Pool Gerobak,9,Pemerintah Daerah ,4
RW. 10 Cakung Drain ,jl. inspeksi cakung drain RT. 06 RW. 10 ,Semper Timur ,Cilincing ,Jakarta Utara,Pool Gerobak,49,Pemerintah Daerah ,4
RW. 011 Cakung Drain ,Jl. Swadaya I RT. 01 RW. 11,Semper Timur ,Cilincing ,Jakarta Utara,Pool Gerobak,100,Pemerintah Daerah ,6
RW. 04 Semper Timur ,jl. akses marunda rt 08 rw 04 ,Semper Timur ,Cilincing ,Jakarta Utara,Pool Gerobak,4,Pemerintah Daerah ,3
RW. 02 Semper Timur ,jl. cakung cilincing rt 03 rw 02,semper timur ,Cilincing ,Jakarta Utara,Pool Gerobak,2,Pemerintah Daerah ,2
TPS RW. 02 Sukapura ,JL. Tipar Cakung Gg. Taruna RW. 02 ,Sukapura ,Cilincing ,Jakarta Utara,Pool Gerobak,32,Summarecon ,10
"RW, 03 Sukapura ",JL. Tipar Cakung TPU Buni ,Sukapura ,Cilincing ,Jakarta Utara,Pool Gerobak,48,Tanah Pemakaman ,8
RW 007 Kelapa Gading Barat,Jl. Raya Bukit Gading Villa,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Pool Gerobak,50,PT SUMARECON,18
TPS RW 006,Jl. Janur Elok II,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Pool Gerobak,60,PT Sumarecon,16
TPS Gading Pandawa RW 01,Jl. Pelepah Raya,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Pool Gerobak,18,masih dalam konfirmasi,4
TPS RW 002,Jl. Gading Putih Raya,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,20,masih dalam konfirmasi,8
TPS RW 05,Jl. Perintis Kemerdekaan,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,50,Masih dalam konfirmasi,16
TPS RW 007,Jl. Tarian Raya,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,20,masih dalam konfirmasi,8
TPS RW 008,Jl. Tarian Raya,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,15,masih dalam konfirmasi,4
TPS RW 010,Jl. Jingga Raya,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,15,masih dalam konfirmasi,5
TPS RW 011,Jl. Gading Elok Utara,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,15,masih dalam konfirmasi,5
TPS RW 012,Jl. Kopyor Raya,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,15,masih dalm konfirmasi,4
TPS RW 015,Jl. Pelepah Raya,Kelapa Gading Timur,Kelapa gading,Jakarta Utara,Pool Gerobak,20,PT Sumarecon,4
TPS rw 016,Jl. Kelapa Puan Raya,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,20,PT sumarecon,4
TPS RW 017,Jl. Kelapa Gading Permai,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,15,masih dalam konfiormasi,5
TPS RW 018,Jl. Raya Pelepah Indah,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,20,PT Sumarecon,4
TPS RW 009,Jl. Kelapa Cengkir Raya,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,Pool Gerobak,20,masih dalam konfirmasi,4
TPS Kompi Udin,Jl. Kepu,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,Pool Gerobak,100,masih dalam konfirmasi,35
TPS RW 002,Jl. Pegangsaan Dua,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,Pool Gerobak,15,masih dalam konfirmasi,3
TPS TPI,Jl. Pegangsaan Dua,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,Pool Gerobak,40,PT Sumarecon,7
TPS arcadia,Jl. Pegangsaan Dua,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,Pool Gerobak,30,PT sumarecon,8
Jalan Muncang,Jalan Muncang,Lagoa,Koja,Jakarta Utara,Pool Gerobak,20,Bina Marga,8
Jalan B,Jalan Raya Cilincing / Jalan B,Lagoa,Koja,Jakarta Utara,Pool Gerobak,36,Bina Marga,20
RW.001 Pasar Tradisional Bendungan Melayu,Jalan Bendungan Melayu RW.001,Rawa Badak Selatan,Koja,Jakarta Utara,Pool Gerobak,9,Jalur Hijau / Pemda DKI,8
Rw. 02 Kel. Pademangan Barat,Jl. Hidup Baru No. 44-247 Kel. Pademangan Barat,Pademangan Barat,Pademangan,Jakarta Utara,Pool Gerobak,6,konfirmasi,6.96
Rw. 07 Kel. Pademangan Barat,Jl. Budi Mulia Utara No. 74 Rw. 07 Kel. Pademangan Barat,Pademangan Barat,Pademangan,Jakarta Utara,Pool Gerobak,6,Konfirmasi,3.91
Rw. 13 Terowongan Kel. Pad Barat,Jl. Budi Mulia Utara Rw 13 Kel. Pademangan Barat,Pademangan Barat,Pademangan,Jakarta Utara,Pool Gerobak,6,konfirmasi,0.63
Rusun Kapuk Muara Kel. Kapuk Muara,Jl. SMP 122 RW.09,Kapuk Muara,Penjaringan,Jakarta Utara,Pool Gerobak,30,Pengembang Rusun,7
RW.03 Kel. Kapuk Muara,Jl. Kapuk Kencana RW.03,Kapuk Muara,Penjaringan,Jakarta Utara,Pool Gerobak,20,Bahu jalan,7
TPS Bugis,JL. Bugis raya,Kebon Bawang,Tanjung Priok,Jakarta Utara,Pool Gerobak,6,DPU,60
TPS Waduk Cincin,JL. Danau Cincin utara,Papanggo,Tanjung Priok,Jakarta Utara,Pool Gerobak,1.5,Pemprov DKI,60
TPS kencana,JL. Sungai bambu raya RW 08,Sungai Bambu,Tanjung Priok,Jakarta Utara,Pool Gerobak,25,CIMNP,50
"TPS pool gerobak RW 01, 03, 06 dan 07",JL. Danau Sunter barat,Sunter Agung,Tanjung Priok,Jakarta Utara,Pool Gerobak,80,DPU,24
Pool Gerobak RW 18,JL. Komplek STS RW 18,Sunter Agung,Tanjung Priok,Jakarta Utara,Pool Gerobak,80,Swadaya,9495
Pool Container RW. 02 Yon Air,JL. Sena 1 RW. 02 Komplek Yon Air,Semper Barat ,Cilincing ,Jakarta Utara,Pool Container,20,TNI,8
Pool Container Pasar Sukapura ,JL. Tipar Cakung Pasar Sukapura ,Sukapura ,Cilincing ,Jakarta Utara,Pool Container,36,Pemerintah Daerah ,11
RW. 09 Sukapura ,Komplek Gading Griya ,Sukapura ,Cilincing ,Jakarta Utara,Pool Container,35,Gading Griya ,11
RW. 12 sukapura ,Komplek gading griya ,sukapura ,cilincing ,Jakarta Utara,Pool Container,16,gading griya ,11
TPS RW 003,Jl. Boulevard Bukit Gading Raya,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Pool Container,20,Kodamar,16
TPS Lokbin Pedongkelan,Jl. Inspeksi Kali sunter,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Pool Container,12,Masih dalam konfirmasi,6
TPS RW 008,Jl. Gading Kirana Timur,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Pool Container,25,PT Sumareon,16
TPS RW 011,Jl. Pelepah Elok 1,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Pool Container,20,PT SUMARECON,10
TPS RW 015,Jl. Kelapa Hibrida Timur,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,Pool Container,18,masih dalam konfirmasi,6
Pasar Sindang,Jalan Sindang,Koja Selatan,Koja,Jakarta Utara,Pool Container,24,PD Pasar Jaya,6
TPK Koja,Jalan Jampea,Koja Selatan,Koja,Jakarta Utara,Pool Container,12,TPK Koja,6
RSUD Koja,Jalan Jampea,Koja Utara,Koja,Jakarta Utara,Pool Container,36,RSUD Koja,14
Pasar Sinar,Jalan Dukuh,Lagoa,Koja,Jakarta Utara,Pool Container,60,PD Pasar Jaya,6
Pasar Waru,Jalan Raya Cilincing,Lagoa,Koja,Jakarta Utara,Pool Container,16,Bina Marga,10
Pasar Walang Baru,Jalan Alur Laut,Rawa Badak Selatan,Koja,Jakarta Utara,Pool Container,24,PD Pasar Jaya,6
Pasar Rawa Badak,Jalan Sindang Terusan,Rawa Badak Utara,Koja,Jakarta Utara,Pool Container,36,PD Pasar Jaya,10
Pasar Tugu,Jalan Kramat Jaya,Tugu Utara,Koja,Jakarta Utara,Pool Container,30,PD Pasar Jaya,6
Pasar Lontar,Jalan Mangga,Tugu Utara,Koja,Jakarta Utara,Pool Container,15,PD Pasar Jaya,6
Pasar Koja,Jalan Bhayangkara,Tugu Utara,Koja,Jakarta Utara,Pool Container,35,PD Pasar Jaya,10
Ramayana Semper,Jalan Kramat Jaya,Tugu Utara,Koja,Jakarta Utara,Pool Container,24,Ramayana,3
Islamic Centre,Jalan Kramat Jaya,Tugu Utara,Koja,Jakarta Utara,Pool Container,24,Islamic Centre,3
Jalan Bhayangkara RW.001 ,Jalan Bhayangkara RW.001,Tugu Utara,Koja,Jakarta Utara,Pool Container,40,Warga,6
Bahtera Jaya Rw. 10 Kel. Ancol,Jl. Ketel Kel. Ancol,Ancol,Pademangan,Jakarta Utara,Pool Container,20,Konfirmasi,7
Rw. 01 Kel. Pademangan Barat,Jl. Pademangan 1 Rw. 01 Kel. Pademangan Barat,Pademangan Barat,Pademangan,Jakarta Utara,Pool Container,24,konfirmasi,6.43
Rusun RW.06 Kel. Penjaringan,Jl. Tanjung Wangi RW.06 Kel. Penjaringan ,Penjaringan,Penjaringan,Jakarta Utara,Pool Container,25,Rusun,5
Pool container GRJU,JL. Yos sudarso RT 06/13,Kebon bawang,Tanjung priok,Jakarta Utara,Pool Container,10,Pemprov DKI,9
TPS Apartemen Metro kencana,JL. Metro Kencana RW 11,Papanggo,Tanjung Priok,Jakarta Utara,Pool Container,40,Pengembang,31.95
Pool Container pasar pelita,Pasar pelita JL. Sungai bambu raya,Sungai Bambu,Tanjung Priok,Jakarta Utara,Pool Container,30,PD. Pasar Jaya,13995
Pool Container Pasar Warakas 1,JL. Warakas 1 RW 01,Warakas,Tanjung Priok,Jakarta Utara,Pool Container,10,Pasar RW 01,13995
TPS RW. 03 Marunda ,JL. Marunda Baru 4 ,Marunda ,Cilincing ,Jakarta Utara,TPS,120,KBN ,16
TPS RW.01 Marunda ,JL. Raya Bidara RW. 01 ,Marunda ,Cilincing ,Jakarta Utara,TPS,9,KBN ,4
TPS Marunda Makmur ,JL. Marunda Makmur RW. 01 ,Marunda ,Cilincing ,Jakarta Utara,TPS,9,KBN,4
TPS Kepu Marunda ,JL. KP. Marunda Kepu ,Marunda ,Cilincing ,Jakarta Utara,TPS,9,KBN,4
TPS RW. 03 Sungai Begog ,Jl. Peralihan RT. 06 RW. 03 ,Semper Timur,Cilincing ,Jakarta Utara,TPS,20,Tanah TPU ,8
TPS RW.06 Semper Timur ,Jl. Akses Marunda RT. 02 RW. 06 ,Semper Timur ,Cilincing ,Jakarta Utara,TPS,6,Tanah Saluran Air ,6
TPS RW. 09 AIRUD ,JL. Arjuna 3 RT.010 RW. 09,Semper Timur ,Cilincing ,Jakarta Utara,TPS,60,Tanah AIRUD ,12
TPS RW. 010 Bak Tugu ,JL. Cakung Cilincing RT. 02 RW. 010 ,Semper Timur ,Cilincing ,Jakarta Utara,TPS,8,Pemerintahan Daerah ,8
TPS RW.03 BUDIDARMA ,JL. Akses Marunda RT.01 RW 03 ,Semper Timur ,Cilincing ,Jakarta Utara,TPS,1000,Pemerintah Daerah ,20
TPS RW 010,Jl. Tabah 1 Ujung,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,TPS 3R,50,KODAMAR,35
RW.01 Kel. Kamal Muara,Jl. Bundaran Kamal  RW.01,Kamal Muara,Penjaringan,Jakarta Utara,TPS,77,Bantaran Kali,16
